input_index,input_x1,input_y1,input_theta0,input_theta1,output_v0,output_delta0
0,-0.0999999999999998,0.15,1.5707963267948966,1.5707963267948966,-0.023245052,0.16815484
1,-0.10016117580468947,0.1388808596397032,1.654873744645391,1.5406340082903995,-0.022574771,0.21668947
2,-0.10061543831785666,0.12985436746714435,1.7632184783604483,1.4981250845200436,-0.009318995,0.27599406
3,-0.1005585055804732,0.1303266978503716,1.9012155095723013,1.449670935359939,0.03476134,0.26632768
4,-0.0978168457553928,0.1518448877179167,2.03437934915093,1.4402140454148291,0.08679352,0.21807171
5,-0.0934993328317208,0.1932331907729979,2.1434152061727385,1.4949467221326844,0.13370933,0.14352363
6,-0.0923793666050929,0.25150601886832175,2.2151770229127745,1.6064988039759134,0.16242674,0.06537425
7,-0.0997895282038881,0.3217300979875975,2.2478641467776637,1.7401214157181926,0.1947224,-0.038302943
8,-0.12097113675046639,0.4068991090395859,2.2287126752224307,1.8794926855587337,0.22949621,-0.16425873
9,-0.16091271273264773,0.5084872450296426,2.1465833085265498,1.9978621908731744,0.2597475,-0.2797813
10,-0.2189007683016195,0.6236881898245741,2.0066926526513438,2.0615148972897277,0.25624502,-0.28888142
11,-0.2797685509216695,0.7372157624546649,1.8622519421067576,2.0545547976907663,0.2265904,-0.2084435
12,-0.32993850079247145,0.8382334095299255,1.7580301957812647,2.0054530947982965,0.20280148,-0.13895613
13,-0.36922122775499366,0.93011093076964,1.6885521310057978,1.9437594515810623,0.19029158,-0.10769625
14,-0.400575732048358,1.0181789073644483,1.6347040059652667,1.8823092610247272,0.18252154,-0.09537603
15,-0.4255838747284524,1.1043478072171171,1.5870159911599497,1.8247196792633962,0.17528154,-0.079335526
16,-0.4449605795276012,1.1883636642565258,1.5473482283439974,1.7709095312225953,0.17006604,-0.0669909
17,-0.4595410238464959,1.2708635363119025,1.5138527798142771,1.721308732547135,0.15652257,-0.06468114
18,-0.4695130191243248,1.3475246824526883,1.481512208529983,1.6794099977278394,0.14320068,-0.070924506
19,-0.4759515300539709,1.418127462541642,1.4460499557342867,1.6440618757273602,0.13317786,-0.081878066
20,-0.4797638756584963,1.4840616437002272,1.4051109227028231,1.6126853865778517,0.12843259,-0.082999095
21,-0.4814335045409896,1.5476823220562401,1.3636113750424723,1.5810267565989993,0.12799487,-0.08620311
22,-0.4810450578709237,1.611047908053972,1.3205098184433322,1.5479444307970904,0.12726611,-0.089732915
23,-0.47853658164186547,1.6739455438532571,1.275643360861812,1.5135508620065576,0.12800285,-0.08854471
24,-0.47377062444472046,1.7369615251102357,1.23137100512651,1.476795581501579,0.12595302,-0.06960967
25,-0.46674008353409424,1.7985197265183381,1.1965661692109446,1.4375224863121705,0.11564445,-0.045826606
26,-0.4581373599644759,1.8546426574410875,1.173652865984712,1.4003380533672443,0.092724286,-0.021820158
27,-0.44974106450779333,1.899368416655607,1.162742787101541,1.3706112602336822,0.06398127,0.012042116
28,-0.4431698580409554,1.9299472452292528,1.1687638452884297,1.348149564604449,0.038192682,0.037152745
29,-0.43892318450598933,1.9480013437484136,1.187340217703257,1.331788624870043,0.014900197,0.04641149
30,-0.43720576842710057,1.9548849494312075,1.2105459618058543,1.3209621542501546,-0.004043973,0.04456602
31,-0.43776333977239384,1.9527298925607859,1.2328289719906191,1.3142143608932202,-0.01803641,0.03589463
32,-0.4400947865263279,1.9439107724969706,1.2507762862977128,1.3103656789689861,-0.027064603,0.023851305
33,-0.4436003711658072,1.9307948564545574,1.2627019389208893,1.308780433789136,-0.031314045,0.010927562
34,-0.44765451888938584,1.9156625856302574,1.2681657197561602,1.3092354567405249,-0.031104729,0.0005137548
35,-0.45165734821917985,1.9006472348326044,1.2684225971486907,1.3113254780325385,-0.027559415,-0.0031231344
36,-0.45517044354127373,1.887344551989126,1.2668610299613814,1.31390989703158,-0.023102596,-0.0061620697
37,-0.4580814566227169,1.876196965609508,1.2637799950924258,1.3168618027497023,-0.018014546,-0.00854978
38,-0.4603210594976465,1.8675126135526305,1.2595051052656512,1.3199878399079636,-0.012625346,-0.010241725
39,-0.46186711218416426,1.8614398622722579,1.2543842429902892,1.323048760273811,-0.0072929235,-0.011211947
40,-0.4627441632981776,1.8579524683477324,1.2487782696869711,1.3257969523740112,-0.0023643486,-0.011468038
41,-0.4630174954830688,1.8568540626088472,1.2430442507055144,1.3280208392298065,0.0018669153,-0.011059776
42,-0.46278296468977675,1.8578042351475894,1.2375143627312521,1.3295818292538524,0.005198625,-0.010083325
43,-0.46215451081407594,1.8603636228205087,1.2324727001276354,1.3304327675235694,0.007537254,-0.008673154
44,-0.4612518926382552,1.8640477651502771,1.2281361232188086,1.3306141254218085,0.008895605,-0.0069866404
45,-0.4601901329552797,1.868379569385322,1.2246428030219416,1.3302325860290571,0.009372209,-0.005184114
46,-0.45907161562109433,1.8729312631774273,1.2220507460322718,1.329431479542284,0.00912,-0.0034104213
47,-0.45798122324304846,1.8773506425961617,1.2203455353763442,1.3283627163581107,0.008317673,-0.0017820746
48,-0.4569839192656383,1.8813731126574604,1.2194544980910162,1.3271656076246403,0.0071442807,-0.00038085878
