input_theta1,input_x1,input_y1,input_theta0,input_index,output_v0,output_delta0,exec_time_sec
1.224449203,-0.125521841,0.258318734,1.651489624,38,-0.16652333177797524,0.2697622855436444,53.99092888832092
1.193228287,-0.131546438,0.242395141,1.662197704,39,-0.16013661129498244,0.34807030688695384,59.838613510131836
1.160970088,-0.137319115,0.228487143,1.676360173,40,-0.1309652893089784,0.31992791738661885,64.43609666824341
1.128282425,-0.142601984,0.216841814,1.694614236,41,-0.1914398537618534,0.395743601778746,63.11377549171448
1.096575859,-0.147114846,0.207689122,1.716469936,42,-0.05893370873997078,0.39188402536172406,56.67397332191467
1.068991655,-0.150236687,0.201804578,1.742391886,43,-0.0808618187539504,0.38199188988193133,59.07836675643921
1.047411944,-0.151844975,0.198945276,1.7708831,44,0.11117069369130644,0.3207798196886226,58.64245367050171
1.037377535,-0.151482958,0.199565215,1.797925369,45,0.13558839083963134,0.3042657033975374,55.544726848602295
1.036550927,-0.149753828,0.20249044,1.823446263,46,0.18321206619975663,0.31939652023992027,53.7755765914917
1.042760468,-0.147080883,0.207040202,1.848128949,47,0.18418432221615433,0.2820269422505211,62.675464153289795
1.052486794,-0.144041738,0.212308975,1.87222756,48,0.19987339855729727,0.28717142127606327,53.728135108947754
1.063315978,-0.140967564,0.217767342,1.896290891,49,0.19997807959091163,0.2597415677373211,57.826565742492676
1.570796327,-0.077777778,0.194444444,1.570796327,0,0.19994345508353978,-0.17714817971382849,52.66930437088013
1.571152435,-0.077780395,0.208660827,1.569618076,1,0.19996184646707335,-0.4776922135026911,65.91693115234375
1.573698963,-0.07780455,0.223086236,1.560941324,2,0.016510075180398747,0.40876315350324055,94.10497426986694
1.578223477,-0.077882431,0.237907693,1.543866828,3,0.19993616061435954,-0.2805565099693571,57.086230516433716
1.584196376,-0.078046587,0.253463359,1.518141467,4,0.19993110156724145,-0.3162481422386036,61.36841440200806
1.589787706,-0.078309315,0.269523837,1.487929815,5,0.19997558822497655,-0.295549708134945,60.69661045074463
1.593251677,-0.078651684,0.285922216,1.45820154,6,0.19997321106642346,-0.3033446714827577,62.78230547904968
1.593680199,-0.07902752,0.302411356,1.432576031,7,0.1999161391034247,-0.350754771599548,54.89465117454529
1.59163582,-0.079379318,0.318438177,1.411377442,8,0.19991968044331843,-0.23523209139681356,60.40811634063721
1.587519334,-0.079672315,0.333991396,1.394650272,9,0.19991216740648166,-0.16948848465382865,59.623589754104614
1.581742464,-0.079881186,0.34905777,1.382275196,10,0.19996666471159733,-0.18269258699332033,59.43968391418457
1.574742428,-0.079989647,0.363612605,1.373917593,11,0.1998876723572951,-0.33792317988016946,56.231121301651
1.566957064,-0.079990244,0.377711717,1.368877185,12,0.19995263193805893,-0.3441772729348747,54.27360939979553
1.558661255,-0.079880854,0.39136528,1.366846591,13,-0.19989781926579506,0.4636366248327621,82.90415000915527
1.550035803,-0.079658673,0.404843802,1.367167906,14,0.1999479409811278,0.3813008121388845,54.88852095603943
1.541270247,-0.079318246,0.418357831,1.369191372,15,-0.1568208403743032,0.42305985838229854,65.38657426834106
1.532474233,-0.078856181,0.431953707,1.372758721,16,0.1978118479894084,-0.2595861005990515,56.633989334106445
1.523826816,-0.078272344,0.445618799,1.377561201,17,0.1769910146137736,-0.2294270660599161,57.01985788345337
1.515369826,-0.077566376,0.459380272,1.383600827,18,0.158376783389195,-0.22604656365778383,54.34610414505005
1.507003246,-0.076764934,0.472794566,1.391977973,19,-0.19997271052660687,0.3497310022792417,67.57859945297241
1.498943734,-0.075987581,0.484227206,1.404024299,20,0.021768263579267477,0.34105461137020127,60.05922055244446
1.491105591,-0.075312597,0.493110834,1.420079818,21,0.1265976178777805,-0.15402633754999537,51.197609663009644
1.483308655,-0.074976408,0.497121302,1.441159078,22,-0.19987923077366307,0.3056014590125488,55.63106107711792
1.474912314,-0.075185959,0.494840974,1.466916012,23,-0.15359291494701435,0.27878768329574466,50.33882188796997
1.465382273,-0.076070292,0.48607554,1.494580259,24,-0.19104276686572644,0.27985349085777544,54.28932476043701
1.454299558,-0.077551224,0.472765182,1.521366864,25,-0.19637469662408044,0.22945945162930784,68.70272469520569
1.441195072,-0.079601465,0.456162016,1.546191519,26,-0.19915177907918752,0.14958623389608647,52.293030977249146
1.425893968,-0.082204219,0.437288744,1.56827839,27,-0.19962378962403213,0.09748453490822892,53.35615658760071
1.409611424,-0.085292853,0.417239376,1.584504655,28,-0.19991944417947707,0.0895696391196498,53.86601638793945
1.392276827,-0.088849645,0.39647834,1.595980688,29,-0.19102180620482603,0.10538208097577915,53.63045907020569
1.373418874,-0.092835141,0.37550304,1.60513892,30,-0.19997311182426544,0.12019819476042531,57.84748888015747
1.352883223,-0.097279253,0.354390205,1.612464272,31,-0.1426668000719927,-0.40833154078264555,59.656970739364624
1.330729381,-0.102177618,0.333356843,1.618159026,32,-0.19999599691628708,0.36695904135751306,71.59948062896729
1.306565578,-0.107508335,0.312648764,1.623739992,33,-0.19998266332233117,0.39995695074216264,73.04581904411316
1.280241453,-0.113288905,0.292330623,1.629333078,34,-0.19998447631075622,0.3963609964525657,76.8519959449768
1.252195443,-0.119269437,0.273290867,1.636378045,35,-0.19997855867546901,0.40024403548233944,76.52378988265991
1.222522731,-0.125376417,0.255645575,1.645006233,36,-0.19997451502470287,0.37555949579370745,74.35367393493652
1.191552997,-0.131452871,0.239672006,1.655667212,37,-0.13835228388252135,0.26011802609443985,54.094011545181274
1.159418395,-0.137299974,0.225648671,1.669753969,38,-0.09248469440641467,0.2726346976250426,54.69128894805908
1.126769186,-0.142665125,0.213869974,1.687933779,39,-0.05258148406791202,0.28726409444911355,54.43910098075867
1.095021384,-0.147264484,0.204577808,1.709701726,40,-0.053528419832086734,0.33126991620019475,53.756105184555054
1.066586151,-0.150611616,0.198298519,1.735452315,41,-0.10297113885687383,0.33069847829946786,57.542335748672485
