input_index,input_x1,input_y1,input_theta0,input_theta1,output_v0,output_delta0,output_v1
26,-0.336486909,2.039174902,1.206437542,1.403323034,0.199873659,0.281865681,0.190498474
32,-0.468072371,1.793173201,1.316863599,0.934784086,-0.199955512,-0.475654898,-0.203271811
44,-1.005538531,0.918578589,1.104181338,1.399856921,-0.199999958,0.490089739,-0.205601599
8,-0.077371996,0.412812579,2.073384562,2.019526724,0.199809497,-0.365873901,0.197550211
4,0.110315519,0.234994348,1.477073883,1.68754124,-0.137704933,0.54409366,-0.146033291
19,-0.311127521,1.472253375,1.488631882,1.801112397,0.199967298,-0.210408594,0.19675205
41,-0.762719932,1.462350637,0.853295532,0.867335303,-0.20000001,-0.223242878,-0.199666881
37,-0.715192227,1.47120125,0.904360593,0.91202658,-0.199999921,-0.061609943,-0.199946815
20,-0.367962419,1.508396844,1.464966219,1.652382635,0.046389625,-0.000346846,0.045583754
8,-0.044909403,0.394239669,2.185471601,1.941945669,0.199981091,-0.307735487,0.186660109
32,-0.447822291,1.83792969,1.448187113,0.962501873,-0.186957514,-0.316642061,-0.180118173
25,-0.360924171,1.965557192,1.214517572,1.428184552,0.199892856,0.049604083,0.194295448
48,-1.067310948,0.661541299,1.619262135,1.150143336,-0.20000001,0.350897958,-0.162529301
37,-0.757758329,1.470915106,0.89889493,0.841026547,-0.199999405,-0.269606734,-0.201223924
9,-0.084823471,0.482954585,2.031603858,2.031071938,0.199956216,-0.326913999,0.199938798
17,-0.347018664,1.195771834,1.640514908,1.687688439,0.1999976,-0.151949751,0.200491644
23,-0.373500133,1.708012704,1.338551318,1.610856255,0.199908303,-0.1200933,0.195772324
29,-0.358341022,2.081909202,1.38166458,1.264495572,-0.130797117,0.141173916,-0.128249976
16,-0.339985738,1.136337952,1.593551493,1.721667813,0.199982814,-0.058527783,0.199091607
4,-0.100413558,0.074004532,2.039298499,1.168869821,0.102526289,0.232749933,0.083874257
30,-0.365081601,1.99490138,1.514060477,1.203846026,-0.199971476,0.035589601,-0.189340044
13,-0.179180024,0.855854052,1.795743173,2.020699878,0.199983647,-0.142423882,0.198121779
36,-0.679348595,1.552656599,0.943973755,0.856775916,-0.199999987,-0.258831971,-0.201494222
26,-0.344417899,2.007912444,1.155593537,1.455750261,0.199961461,0.194885903,0.185259026
25,-0.369406085,1.931249969,1.228573366,1.443236147,0.199950307,-0.038563577,0.196182577
33,-0.530060338,1.711595158,1.07903615,0.919957639,-0.199980175,-0.046464074,-0.19819119
29,-0.366411367,1.974225676,1.573966512,1.184230332,0.014323719,-0.057673109,0.011058316
0,0.011111111,0.283333333,1.570796327,1.570796327,-0.199780031,0.361961838,-0.199780031
26,-0.346583411,2.028908518,1.255615238,1.364395581,0.133508769,0.30354837,0.12942413
26,-0.347572884,2.015692453,1.243961137,1.375158133,0.178967109,0.27640736,0.173813081
29,-0.368089492,1.969500229,1.465940385,1.220247282,0.01304269,0.145894624,0.01619958
5,-0.102835763,0.277702455,1.710372671,1.466791074,-0.058488782,0.420287354,-0.046625724
1,-0.059827652,0.076284081,1.755386858,1.464528863,0.014693505,0.362845896,0.024481838
12,-0.070459569,0.790710164,2.062791613,2.03809644,0.199990412,-0.359220131,0.199042423
40,-0.904636712,1.209576116,0.90809522,1.135712446,-0.199999703,0.069052647,-0.196399301
3,-0.051144767,0.100034476,1.906538515,1.118484152,0.056209376,0.117099213,0.047942447
8,0.036175324,0.417081178,2.28109543,1.889139395,0.199982012,-0.134976717,0.179660034
4,0.109298942,0.19607413,1.55214756,1.6496386,-0.018985033,0.444237645,-0.023218945
14,-0.283289291,0.915705372,1.665832875,1.832876326,0.199993228,-0.057631624,0.19816768
48,-1.06830455,0.659590644,1.59353586,1.169441381,-0.20000001,0.374407633,-0.166875643
