input_x1,input_y1,input_theta0,input_theta1,output_v0,output_delta0,output_v1
-0.1,0.15,1.570796327,1.570796327,-0.299635516,0.199765297,0.199765297
-0.104308836,0.001719663,1.670678975,1.498211296,0.361526891,-0.199958406,-0.190787574
-0.099903889,0.180898935,1.570699772,1.576267164,0.401570841,-0.199835813,-0.200056285
-0.101498267,0.381844623,1.470781865,1.570729487,0.496171814,0.01891273,0.013867477
-0.093542554,0.629174296,1.48023823,1.515404591,0.614659285,0.19994151,0.197656804
-0.072883055,0.935821814,1.580208986,1.509441898,0.038572155,-0.199882105,-0.199109075
-0.072042746,0.955040944,1.480267933,1.542944709,0.421745165,-0.160204015,-0.16253108
-0.063035976,1.165582028,1.400165925,1.50789539,0.608993457,0.190865852,0.183211391
-0.032130947,1.46792136,1.495598851,1.454739176,0.587072638,-0.157663747,-0.155134062
-0.002312243,1.759909238,1.416766978,1.468445174,0.030807523,-0.19998777,-0.199879919
-0.000866169,1.776290161,1.316773093,1.495600505,-0.021300417,-0.199999887,-0.196431595
-0.001303574,1.768452383,1.216773149,1.536621179,0.08805823,-0.199999996,-0.192625385
0.000639074,1.813123715,1.116773152,1.516040931,0.315027343,-0.20000001,-0.19651568
0.021070419,1.962119064,1.016773147,1.358286586,-0.132809334,-0.20000001,-0.18400182
0.012568573,1.907531346,0.916773142,1.484524423,0.035857631,-0.20000001,-0.170550673
0.014389584,1.927856669,0.816773137,1.477295145,0.190795093,-0.20000001,-0.169640257
0.028860327,2.009503042,0.716773132,1.317166706,-0.033347803,-0.200000007,-0.163138628
0.027369561,2.003012158,0.616773128,1.37797948,0.305661872,-0.20000001,-0.165885301
0.070084243,2.121680805,0.516773123,1.09172713,0.371104014,-0.20000001,-0.188023966
0.167426239,2.25857001,0.416773118,0.831730321,0.918799094,-0.20000001,-0.22006818
0.527963467,2.516769654,0.316773113,0.476227108,0.155096009,-0.20000001,-0.199925436
0.597522811,2.551966325,0.216773108,0.457117716,0.115834324,-0.20000001,-0.1970085
0.650171149,2.577246939,0.116773103,0.435635234,0.022210895,-0.20000001,-0.190614838
0.662812216,2.583272545,0.016773098,0.452944693,0.379789228,-0.20000001,-0.197320203
0.831899594,2.644139348,-0.083226907,0.249590664,0.291375755,-0.20000001,-0.198544583
0.970719876,2.670529038,-0.183226912,0.127934185,0.651614166,-0.025142761,-0.043885466
1.289429167,2.672567303,-0.195798292,-0.079763073,0.429371056,-0.20000001,-0.203626146
1.502151855,2.649144846,-0.295798297,-0.143840572,0.315573835,-0.20000001,-0.202472289
1.656946456,2.622372459,-0.395798302,-0.202331868,0.319526179,-0.20000001,-0.202412012
1.810807685,2.584801443,-0.495798307,-0.278776944,0.396890424,-0.20000001,-0.203854556
1.9960342,2.520775257,-0.595798312,-0.38603106,0.705774523,-0.20000001,-0.210312394
2.306305482,2.360943621,-0.695798317,-0.552447412,0.651612143,-0.20000001,-0.207257538
2.571790263,2.175220516,-0.795798322,-0.665994749,0.472360734,-0.20000001,-0.204431685
2.751070021,2.023049899,-0.895798327,-0.744407367,0.448395229,-0.20000001,-0.204474859
2.908510075,1.865301423,-0.995798332,-0.830123091,0.576818092,-0.20000001,-0.206774244
3.088770372,1.642884383,-1.095798337,-0.946662205,0.585787493,-0.20000001,-0.20648383
3.245787364,1.397720484,-1.195798342,-1.054405682,0.551498974,-0.20000001,-0.205775984
3.369433146,1.152914434,-1.295798347,-1.152131815,0.45634653,-0.20000001,-0.204473193
3.453233913,0.941992761,-1.395798352,-1.235232196,0.484984244,-0.20000001,-0.205181183
3.521407762,0.711008675,-1.495798357,-1.332706189,0.673308975,-0.20000001,-0.20827852
3.578122655,0.381552982,-1.595798362,-1.462440358,0.699762799,-0.20000001,-0.20752847
3.595730842,0.033807722,-1.695798367,-1.575474811,0.620767425,0.20000001,0.191102696
3.580681517,-0.275460255,-1.595798362,-1.636075558,0.620767422,0.20000001,0.202337408
3.565587538,-0.58530361,-1.495798357,-1.593177086,0.620767425,0.20000001,0.205087903
3.5704563,-0.894800768,-1.395798352,-1.513498368,0.620767425,0.20000001,0.205905855
3.602264082,-1.202343955,-1.295798347,-1.420742405,0.781412442,0.20000001,0.208178839
3.683356809,-1.582848141,-1.195798342,-1.304371074,1.268866548,-0.20000001,-0.185072983
3.880710589,-2.18500741,-1.295798347,-1.253512813,1.620175773,-0.20000001,-0.206670188
4.098099518,-2.964631695,-1.395798352,-1.346897442,5.427508922,0.20000001,0.173230491
4.681636975,-5.611018812,-1.295798347,-1.307756435,10.89063729,0.20000001,0.21300852
-0.1,0.172222222,1.570796327,1.570796327,0.02194981,0.040068856,0.040068856
-0.099965022,0.183222217,1.590830755,1.564601631,0.013194046,0.199756271,0.199722164
-0.099797119,0.190701344,1.69070889,1.533492086,0.183549821,-0.199797914,-0.194459942
-0.099328916,0.281360153,1.590809933,1.589643422,0.387013123,-0.084356451,-0.084311248
-0.103392757,0.474855761,1.548631708,1.589461937,0.52513397,-0.057262296,-0.05935811
-0.104778705,0.737301681,1.52000056,1.562457827,0.394963332,-0.199546044,-0.201042621
-0.101706363,0.934839392,1.420227538,1.539632558,0.334488805,-0.088139955,-0.091496851
-0.092306311,1.101184574,1.37615756,1.48961394,0.611067372,0.183141971,0.175046416
-0.055090012,1.40376647,1.467728546,1.432151244,0.591346428,-0.076529436,-0.074377601
-0.017947158,1.697040407,1.429463827,1.448629074,0.127490568,-0.199989838,-0.200197434
-0.01076707,1.760938946,1.329468908,1.46498864,0.058092449,-0.199999963,-0.198951072
-0.007798163,1.79120412,1.229468927,1.479071566,0.069428178,-0.19999993,-0.195517071
-0.004485306,1.827156659,1.129468962,1.476788572,0.262193503,-0.20000001,-0.196982205
0.014678723,1.952567232,1.029468957,1.362600127,-0.133998346,-0.20000001,-0.184622829
0.006261261,1.897087803,0.929468952,1.488057001,0.045843277,-0.20000001,-0.172030508
0.008468085,1.921539267,0.829468947,1.472324907,0.159879915,-0.20000001,-0.169661934
0.019980215,1.991122348,0.729468942,1.342854077,0.059085547,-0.20000001,-0.16694202
0.027120604,2.019835717,0.629468937,1.310043451,0.16108596,-0.20000001,-0.165578443
0.049761524,2.085728096,0.529468932,1.171632078,0.368675821,-0.20000001,-0.182241488
0.13515011,2.223914244,0.429468927,0.884604627,0.920543238,-0.20000001,-0.220105913
0.485266085,2.492495994,0.329468922,0.497694788,0.353589598,-0.20000001,-0.203096959
0.642490883,2.570766841,0.229468917,0.423569829,0.050998483,-0.20000001,-0.197227988
0.667185581,2.582093209,0.129468912,0.434782864,-0.013418232,-0.20000001,-0.190347193
0.664864678,2.580965782,0.029468907,0.473957655,0.352879523,-0.20000001,-0.195739824
0.819980571,2.641468258,-0.070531098,0.279608645,0.193777932,-0.20000001,-0.194512113
0.911493015,2.663756876,-0.170531103,0.197221121,0.456346528,-0.20000001,-0.203034092
1.130420567,2.68354035,-0.270531108,-0.003792958,0.596373818,-0.033036734,-0.047588017
1.422064666,2.653824163,-0.287049475,-0.173846702,0.315573835,-0.20000001,-0.202284649
1.576699961,2.623656548,-0.38704948,-0.216520152,0.319526178,-0.20000001,-0.202521513
1.730591126,2.584597319,-0.487049485,-0.283546378,0.397078163,-0.20000001,-0.203897936
1.916131947,2.520215308,-0.58704949,-0.384356819,0.704311044,-0.20000001,-0.210083942
2.226720148,2.362076174,-0.687049495,-0.545675175,0.651646132,-0.20000001,-0.207186612
2.493648787,2.178324622,-0.7870495,-0.657921371,0.472360734,-0.20000001,-0.204417487
2.674191224,2.027636496,-0.887049505,-0.73596692,0.453290867,-0.20000001,-0.204544165
2.834625348,1.869447955,-0.98704951,-0.822435454,0.576728445,-0.20000001,-0.206747287
3.01666387,1.648508127,-1.087049515,-0.938307017,0.58578749,-0.20000001,-0.206472709
3.175763189,1.404679899,-1.18704952,-1.045805945,0.551375644,-0.20000001,-0.205770308
3.301498159,1.161005823,-1.287049525,-1.143423563,0.456346531,-0.20000001,-0.204472522
3.387135312,0.950822253,-1.38704953,-1.22650241,0.48498424,-0.20000001,-0.20518088
3.457324468,0.720442139,-1.487049535,-1.323965893,0.673308985,-0.20000001,-0.208278231
3.516917857,0.391494705,-1.58704954,-1.453694333,0.699762807,-0.20000001,-0.20752835
3.537567122,0.043916701,-1.687049545,-1.566726866,0.620767425,0.20000001,0.191102771
3.525223899,-0.265471109,-1.58704954,-1.627327048,0.620767422,0.20000001,0.202337425
3.512841167,-0.575434654,-1.487049535,-1.584428375,0.620767425,0.20000001,0.205087907
3.520417422,-0.88487737,-1.38704953,-1.504749585,0.620767422,0.20000001,0.205905856
3.554914586,-1.192130508,-1.287049525,-1.411993598,0.628674522,0.20000001,0.206275432
3.619513392,-1.498371244,-1.18704952,-1.313544476,1.268866548,-0.20000001,-0.182394293
3.817557931,-2.099985114,-1.287049525,-1.246936846,1.620175773,-0.20000001,-0.206336345
4.041184521,-2.877875574,-1.38704953,-1.338296011,5.4187601,0.20000001,0.173354468
4.646829475,-5.514854899,-1.287049525,-1.299091841,10.87313964,0.20000001,0.21307897
-0.1,0.194444444,1.570796327,1.570796327,-0.442177998,0.199624326,0.199624326
-0.107922699,-0.02438318,1.67060849,1.47427339,0.473519794,0.199941732,0.205337713
-0.098980025,0.20977259,1.770579356,1.589025945,0.342434372,-0.199423984,-0.189963415
-0.110335747,0.378917244,1.670867364,1.669394528,0.31959377,-0.119935539,-0.119888338
-0.126723009,0.537956489,1.610899595,1.672016803,0.453045749,0.199937057,0.196796594
-0.144903325,0.76367903,1.710868123,1.646042713,-0.451465929,0.199813329,0.196469038
-0.143188157,0.544463996,1.810774788,1.476795841,-0.020363453,-0.199866372,-0.189490381
-0.144224945,0.532016279,1.710841602,1.499708887,0.3596168,0.124865227,0.129628893
-0.140304063,0.709555588,1.773274215,1.59446741,0.23162234,0.199925671,0.200857709
-0.145531651,0.824804726,1.873237051,1.641233439,0.194509435,0.19996113,0.199076018
-0.154627437,0.920941024,1.973217615,1.691739922,-0.034396001,0.199983814,0.191158218
-0.153410135,0.908386951,2.073209522,1.640545258,-0.143750976,0.063390621,0.051521944
-0.152765257,0.847264208,2.104904833,1.514753376,-0.06125932,0.197421592,0.160619994
-0.154473684,0.829864609,2.203615629,1.424896748,-0.280145443,0.20000001,0.122686273
-0.1735666,0.769843295,2.303615634,1.012945733,-0.51798002,0.20000001,0.005516491
-0.119039496,0.787951132,2.403615639,0.20112259,-0.562287626,0.20000001,-0.163481102
0.111319121,0.764382694,2.503615644,-0.295013317,0.001753664,0.20000001,-0.188293472
0.113441017,0.763773568,2.603615649,-0.262377815,-0.223365741,0.20000001,-0.198530781
0.220206831,0.732201018,2.703615654,-0.303823349,-0.777579205,0.20000001,-0.208603235
0.587026398,0.604335151,2.803615659,-0.338621933,-0.710177604,0.20000001,-0.199954166
0.92461141,0.495572734,2.903615664,-0.277263776,-0.939450211,0.108632129,-0.104858457
1.380160701,0.383071764,2.957931728,-0.210173165,-0.992413509,0.107242701,-0.10457421
1.867939318,0.293877288,3.011553079,-0.152594016,-1.045782295,0.140111469,-0.137717329
2.386653987,0.23143403,3.081608813,-0.086042361,-1.051095319,0.153894585,-0.151103648
2.911026876,0.205573379,3.158556106,-0.011767407,-0.915132486,0.20000001,-0.197288577
3.367565068,0.219695062,3.258556111,0.076495154,-0.432862956,0.036445045,-0.034663962
3.582880462,0.239647033,3.276778634,0.106856231,-0.319876213,-0.016630859,0.017530266
3.741810576,0.257426754,3.268463204,0.114544325,-0.419926907,0.007236536,-0.006718388
3.950278604,0.282319832,3.272081472,0.122632059,-0.371352572,0.005244395,-0.004952474
4.134495085,0.305509366,3.274703669,0.127576481,-0.391302721,0.004399425,-0.004182791
4.328503692,0.330784429,3.276903382,0.131350417,-0.733874558,-0.161445528,0.161734898
4.692939575,0.371508981,3.196180618,0.084474778,-0.731325828,-0.161060893,0.158803592
5.057540859,0.389826628,3.115650171,0.013934832,-0.717838302,-0.159031603,0.156043386
5.415625394,0.381244599,3.03613437,-0.062467108,-0.675966837,-0.152796789,0.149750442
5.751192291,0.34765547,2.959735975,-0.137342602,-0.711450635,-0.158074126,0.154751628
6.100583798,0.285203208,2.880698912,-0.216407634,-0.695609103,-0.070208495,0.067045561
6.437736343,0.201311347,2.845594665,-0.268180265,-0.686762989,-0.06876915,0.066832372
6.766720991,0.103667429,2.81121009,-0.307871531,-0.719625819,-0.075208538,0.073569668
7.107247447,-0.011961631,2.773605821,-0.346596841,-0.73395088,-0.010792986,0.009220716
7.451026225,-0.140224276,2.768209328,-0.365012275,-0.768385785,-0.114167114,0.113519902
7.807025881,-0.284168981,2.711125771,-0.406679542,-0.697278856,0.026958737,-0.028609595
8.126364267,-0.424036315,2.72460514,-0.414859138,-0.621410899,0.019520318,-0.019652534
8.410925258,-0.548783199,2.734365299,-0.410524048,-0.544782431,0.170088053,-0.169907531
8.662743588,-0.651792135,2.819409325,-0.360778987,-0.453065859,0.176427549,-0.174547956
8.876433714,-0.724607131,2.9076231,-0.293428624,-0.392055368,0.024631901,-0.022258621
9.064828334,-0.777723821,2.91993905,-0.258627445,-0.270863137,-0.028140969,0.029122993
9.195890519,-0.811802412,2.905868566,-0.251716972,-0.164429968,-0.013341944,0.013603197
9.275530796,-0.832223995,2.899197594,-0.250664314,-0.014893135,0.077154645,-0.077139691
9.282676575,-0.834003342,2.937774916,-0.237289092,0.142186503,0.02905115,-0.029510706
9.213618231,-0.817134816,2.952300491,-0.24264299,2.551519246,0.20000001,-0.213321556
-0.1,0.216666667,1.570796327,1.570796327,-0.412807502,0.126772826,0.126772826
-0.10454505,0.011108157,1.63418274,1.512700767,0.394819696,-0.19990343,-0.19364561
-0.100327274,0.207778334,1.534231025,1.568913778,0.232293566,-0.199555336,-0.200240823
-0.10044156,0.324304957,1.434453357,1.568238397,0.397316964,-0.073711475,-0.078352463
-0.093136634,0.521842227,1.397597619,1.502599001,0.600864532,-0.172245834,-0.177594749
-0.060946762,0.819623318,1.311474702,1.422618868,0.748066893,0.073474386,0.064723817
0.011101526,1.185805639,1.348211895,1.352193853,0.72453278,-0.184407814,-0.184694857
0.091448807,1.539015849,1.256007988,1.328564517,-0.094819418,-0.199982826,-0.198769284
0.081714842,1.4947206,1.156016575,1.384889446,-0.142616803,-0.199946746,-0.191496993
0.072994128,1.431217956,1.056043202,1.493082152,0.242462623,-0.199949591,-0.191418552
0.089672995,1.544720798,0.956068407,1.359133166,0.292582181,-0.1999999,-0.195448771
0.129309029,1.678533544,0.856068457,1.210649098,0.190993386,-0.20000001,-0.194189679
0.165499806,1.763957027,0.756068452,1.128485094,0.216459307,-0.20000001,-0.194166405
0.214859155,1.855961399,0.656068447,1.028297217,-0.145450591,-0.20000001,-0.181013895
0.187641553,1.803304762,0.556068442,1.17139753,0.646997025,-0.20000001,-0.200663148
0.363482757,2.039938779,0.456068437,0.753426097,-0.174264938,-0.20000001,-0.18611694
