input_index,input_x1,input_y1,input_theta0,input_theta1,output_v0,output_delta0,output_v1
0,-0.09999999999999987,0.15,1.5707963267948966,1.5707963267948966,0.19976529693488188,-0.2996355163129934,0.19976529693488188
1,-0.1014823028182334,0.25068907393098844,1.4209785686384002,1.5907155723239073,0.19923708667889456,-0.318687836969548,0.20175727071276886
2,-0.10249204345288115,0.35116254324842217,1.261634650153626,1.5635580505040263,0.04793710327339304,-0.0917219401577365,0.04849614912420185
3,-0.10219448826998852,0.37535444980321975,1.2157736800747578,1.5529542271070829,-0.18051250338462388,0.36887563392476086,-0.18255148362680912
4,-0.1026482013516509,0.28348821133168206,1.4002114970371382,1.5702063877388355,-0.013913104794033711,0.6203223485941716,-0.024207003010611475
5,-0.10283576250321501,0.2777024547857338,1.7103726713342242,1.466791073979974,-0.058488782105898335,0.42028735382531407,-0.046625724247672085
6,-0.10561620570080851,0.25918006910516117,1.9205163482468812,1.364852560850398,0.1999227960499445,0.3252455200705712,0.1870014461198837
7,-0.0926939655280039,0.351114934904033,2.0831391082821664,1.4991851891451036,0.1998623413258328,0.08471698371324324,0.17141368343552285
8,-0.09351159801825266,0.43957070621189176,2.1254976001387877,1.6538538027482916,0.19995382127206204,-0.050685658324414545,0.1758204799607321
9,-0.10760405402851202,0.5298983256998314,2.10015477097658,1.7876295515775196,0.19995550251105956,-0.1643775936258284,0.18521570203423166
10,-0.1332495110369676,0.622080873529596,2.0179659741636655,1.8861230473463884,0.19997440112362844,-0.3138074331254309,0.19411353080828742
11,-0.16741585268656586,0.715506484514534,1.86106225760095,1.9444040545863759,0.19997134007969203,-0.1641705277979672,0.20064389930371587
12,-0.20358352735020102,0.8089820816850832,1.7789769937019662,1.9316883493542998,0.19997225869467633,-0.09137849910536362,0.19903507028226233
13,-0.23699282471677968,0.9026653945029244,1.7332877441492842,1.8945463411012788,0.1999367467104084,-0.09845481086661421,0.1989235605439941
14,-0.26679200630304295,0.9974868792867444,1.6840603387159767,1.8554653375154189,0.19997211999824954,-0.06661787892425977,0.19817802788016123
15,-0.29250844042070395,1.0932509271455713,1.6507513992538465,1.811428041492636,0.199982596719885,-0.03158469793334188,0.19791198356314638
16,-0.31397015431432956,1.1900445608886965,1.6349590502871756,1.7680979832734676,0.19996471361175158,-0.04655530501413508,0.1988130480138093
17,-0.3317478469188151,1.287907561323161,1.6116813977801083,1.7335234034140306,0.19999414021149642,0.034271986705989244,0.198094927539823
18,-0.34589535587390297,1.386279207393963,1.6288173911331025,1.6967526102980868,0.19889088035325134,-0.14801877591796672,0.19943689233696282
19,-0.3581355147556325,1.485188795431581,1.5548080031741192,1.687507299825507,0.16285054870007068,-0.26449888511595315,0.16491841511800095
20,-0.3675572819757197,1.5670361471693037,1.4225585606161424,1.6776970504612752,0.03931113186464339,0.050639895627043935,0.036760519042670636
21,-0.36931763717176674,1.5855065413485723,1.447878508429664,1.6545056930190452,0.16607811639555334,-0.03682885015259077,0.1633009576692418
22,-0.3741995958373548,1.667217751849795,1.429464083353369,1.6077627789401943,0.15664813382864867,-0.10268108886162453,0.15598587343453502
23,-0.375862771760748,1.745095614043943,1.3781235389225568,1.575690129915449,0.1997029059348898,-0.09396857137547698,0.19766256036942453
24,-0.37389168447919724,1.8439171599184387,1.3311392532348183,1.5261587545596256,0.19992378356586726,-0.17785759261684111,0.19958063168019316
25,-0.367420565890666,1.9431962428431049,1.242210456926398,1.4827034965637287,0.19965398688275784,-0.18620902511669776,0.19834323150444355
26,-0.3560930919571352,2.041387547772281,1.1491059443680491,1.4270691082211624,0.19991933826599953,0.141789046992644,0.18835504455249832
27,-0.3376611570529751,2.13618470284963,1.220000467864371,1.3395688419171918,-0.05496981338948966,0.2535838729561102,-0.05760218230805948
28,-0.34454213490744495,2.1091317035893513,1.346792404342426,1.3008701438971773,-0.18289942821406358,0.12703713736480832,-0.18212342978021576
29,-0.3706013127271565,2.0226849272322527,1.4103109730248304,1.2492107517397422,0.02224313816324416,0.11798868079362518,0.02384770959879934
30,-0.36671841423866947,2.0341006373088404,1.4693053134216427,1.237178890882815,-0.1999800731401466,0.0906710259418773,-0.19253062742144975
31,-0.402061917271448,1.9472718856726523,1.514640826392581,1.1217616202438814,-0.1999993820061986,-0.2021347940297211,-0.19250027381118046
32,-0.4479730272980965,1.862635440327796,1.4135734293777205,1.0260870985777473,-0.19999986941499306,-0.4566308564430336,-0.2024265986559522
33,-0.5024003060904109,1.7761723667302707,1.1852580011562033,1.003595679341632,-0.19999920976357521,-0.06537422170968604,-0.19788925053689668
34,-0.5576032280631714,1.6942480627085208,1.1525708903013605,0.9509889205354685,-0.1999992764550492,-0.1770468042335373,-0.19949432621874597
35,-0.6169813607740557,1.6137719567879585,1.0640474881845918,0.9226242123753102,-0.19999940334506783,-0.19123454344591723,-0.2006981816199639
36,-0.6778338142236766,1.5338926375119035,0.9684302164616332,0.9222465443402384,-0.19999944917593962,-0.17760642728260237,-0.20060615465655374
37,-0.7370675677818794,1.4535425082379756,0.8796270028203321,0.955673655211057,-0.1999993942564358,0.016815351395845585,-0.19954911722241528
38,-0.7936177289482005,1.3714146031796073,0.8880346785182551,0.9808343753958995,-0.19999944017863244,0.06341469576016939,-0.19972652422450993
39,-0.8484029308239724,1.2878791061752657,0.9197420263983398,0.9990830165985791,-0.19999989088794284,-0.22490703349677307,-0.19758815901773466
40,-0.8970408203297715,1.2048541046141101,0.8072885096499531,1.0947751854877572,-0.199999748257739,0.2325177524562589,-0.1983845432410923
41,-0.9404730726361894,1.1151374894044612,0.9235473858780825,1.1411781568336494,-0.19999919896874405,-0.1138286991624472,-0.1928238131794974
42,-0.9749236555371524,1.028012711477365,0.8666330362968591,1.2575964983641366,-0.19999987516158427,0.1821782767044783,-0.19185078927320764
43,-0.9998446005269538,0.935558835836784,0.9577221746490983,1.3579524585080727,-0.15878518564762337,0.5346207350144462,-0.16706704879295786
44,-1.0175901539912977,0.8541303427726752,1.2250325421563213,1.3412777725918266,-0.19999999904734728,-0.0356422202156127,-0.19823683335718403
45,-1.0375148196871238,0.7576093924540813,1.2072114320485152,1.397334161972305,-0.19999999913670635,0.5164239559974052,-0.20615555867135768
46,-1.0575457181831394,0.659321132470036,1.4654234100472179,1.3226412753674475,0.20000000962275996,0.08361428459181124,0.19915460710934427
47,-1.0347648495306943,0.7562134678561052,1.507230552343123,1.3574969378262796,-0.2000000099304631,0.44348956072882806,-0.19114643634269454
48,-1.0593767099299765,0.6736702984974996,1.7289753327075372,1.1776060454877395,-0.2000000099611212,0.17702637858679834,-0.1610880120721597
49,-1.0927513828269175,0.6124701903690881,1.8174885220009367,0.9393963080502983,0.20000000997319292,0.5794955076868836,0.1723175341961806


input_index,input_x1,input_y1,input_theta0,input_theta1,output_v0,output_delta0,output_v1
0,-0.09999999999999987,0.17222222222222222,1.5707963267948966,1.5707963267948966,0.040068856145865604,0.021949809794499595,0.040068856145865604
1,-0.09996654833572537,0.19226378759427923,1.5817712316921462,1.5676160550143916,0.19986178782721215,-0.377889688565391,0.19930687343798828
2,-0.10173646360781209,0.29337061619133353,1.3928263874094506,1.5966484456618368,0.1667117285810032,-0.1781833876904887,0.16686748834484522
3,-0.10253597895225304,0.37652228071793514,1.3037346935642065,1.5616384344704504,0.056938843085917956,0.571755984329134,0.04047281552430871
4,-0.10079327695027343,0.40293395234152185,1.5896126857287731,1.4612821018498106,-0.11847505536003555,0.3809604565451031,-0.11262534626249304
5,-0.10903065678881843,0.35203575222481437,1.780092914001325,1.3467489933600287,-0.13957477512815114,0.2910957708047915,-0.11445007273862005
6,-0.12372829343179233,0.3044184030121915,1.9256407994037206,1.1783822945612585,0.19985591533172678,0.3568241060805959,0.1708561179481256
7,-0.09838825471224691,0.38599129080115663,2.1040528524440183,1.3605734381554124,0.19995402713374902,0.16634495377096392,0.15844886430111474
8,-0.08921403230288774,0.46785305029441615,2.1872253293295,1.5505766557771312,0.19992922829653761,-0.0466522800014642,0.15798812558820022
9,-0.09548149537799645,0.5523113742800684,2.163899189328768,1.726158759944974,0.19995911279314937,-0.16794761168356154,0.17398612759868895
10,-0.11625426944364031,0.6417881992495796,2.079925383486987,1.8585454852098988,0.1998040115608124,-0.373321328153253,0.18673062929512788
11,-0.14882722646238508,0.7340410288633231,1.8932647194103605,1.9458981684264438,0.199913244237905,-0.12429719246529027,0.2002903173058162
12,-0.18534190561207547,0.8272615553089511,1.8311161231777153,1.9392754466981674,0.19998897292747106,-0.17199378582843594,0.20067698166369477
13,-0.22069848606684433,0.9209917386274613,1.7451192302634975,1.9200216661925769,0.19996396345069664,-0.06703546079967611,0.1980797153066252
14,-0.25247882449968306,1.0148729869844975,1.7116014998636593,1.8750294786744262,0.19997612204475376,-0.09459008056865426,0.19885050352178235
15,-0.28036677869783605,1.1102522537562727,1.6643064595793322,1.8350741765407967,0.19999211086895918,-0.04169541747621267,0.19779171162650827
16,-0.3039965758161197,1.2064636977832623,1.643458750841226,1.7895707118582909,0.19996658319113605,-0.09848788638387071,0.1992697751642367
17,-0.3239474139569348,1.303996433506917,1.594214807649291,1.7547598843017884,0.19998582733654596,0.0548764155558309,0.19653683474959174
18,-0.33944157348669096,1.4016836211445323,1.6216530154272069,1.705721417292266,0.19930818310243326,-0.19051723767448214,0.200204054927828
19,-0.3525792279007573,1.500840186834556,1.5263943965899656,1.6946489895434265,0.1995317108654853,-0.21059334815973646,0.20024067037158885
20,-0.3634358989953861,1.6000315473458744,1.4210977225100971,1.6609746334856792,-0.029349411049454474,0.0384904645923932,-0.029423524247791603
21,-0.3620721942076213,1.5853721953916633,1.4403429548062934,1.666019257228695,0.17828133125913614,-0.11472474072878752,0.1763277956302693
22,-0.3683099444812377,1.6732429970302654,1.3829805844418996,1.6168970908357405,0.19208875144441853,-0.10732888371501903,0.18934518374468579
23,-0.36999983114244833,1.767912013819016,1.3293161425843905,1.5605387309708054,0.19991038210493173,-0.2686772126689261,0.20074737118043012
24,-0.3668274609281197,1.8676424700971075,1.1949775362499273,1.5125760391908871,0.1999703146018101,0.031288963119584505,0.18899231065666072
25,-0.356577341546325,1.963200579119603,1.2106220178097193,1.421459292626256,0.19992920383992083,0.14432804186366668,0.19248149968555153
26,-0.3382809833991797,2.0594311540454693,1.2827860387415524,1.3523828633133193,0.02115391181182063,0.3211685868449809,0.018869273351351374
27,-0.3355618651598771,2.07024203500349,1.4433703321640432,1.3003084734705692,-0.1999681499925304,0.0723240835425208,-0.19689413818833737
28,-0.36483807127638956,1.9774741413820238,1.4795323739353035,1.2234515426099986,-0.001042289006878704,0.1813883613975797,0.0035861064563145854
29,-0.3640129414123275,1.9796454792705405,1.5702265546340937,1.1941957553881546,-0.014559670589543239,-0.042134170721770794,-0.015089679680879183
30,-0.3667977520581614,1.9726266331365403,1.5491594692732087,1.1920532867548819,-0.19998624522504277,-0.0069085702992736815,-0.18761107621949663
31,-0.40587047801796583,1.8900698146611496,1.5457051841235718,1.0574930806200291,-0.19999728246670528,-0.2448181229627864,-0.18811531132901002
32,-0.4568841647261844,1.8110650713498486,1.4232961226421783,0.9375483906090726,-0.1605659355467809,-0.5537685849242289,-0.1678464269505216
33,-0.5076434116781545,1.743335365445879,1.1464118301800643,0.9304697460912453,-0.19998352696917038,-0.08370574711288124,-0.1971324474712397
34,-0.5687546848084426,1.6662235485880557,1.1045589566236234,0.8697535363320484,-0.061557546164683015,-0.33077682026327476,-0.067564031037107
35,-0.5893516866174874,1.6408946683321906,0.9391705464919862,0.9106605883883263,-0.19999991851356583,0.060370104230430335,-0.1997465506821911
36,-0.651461540962311,1.562964606602867,0.9693555986072013,0.8818340480595254,-0.1999999167089483,-0.20510507845179676,-0.20102722424925218
37,-0.7144483563836153,1.4850734651988147,0.866803059381303,0.906904058247529,-0.19999992410426004,-0.009479527146344667,-0.19980113303945746
38,-0.7752861558486144,1.4059087274465716,0.8620632958081305,0.9255178013664123,-0.19999991213268078,-0.08969860468438795,-0.19902860379357618
39,-0.8329329826621705,1.3255790709743283,0.8172139934659364,0.9765422686266619,-0.19999991091975364,0.09133142959008611,-0.19891574680606516
40,-0.88711114679484,1.2421217419854904,0.8628797082609796,1.012947289159356,-0.09735716759053238,-0.21777536301015907,-0.09300711853091606
41,-0.909444120111392,1.203464872580383,0.7539920267558999,1.086527252233176,-0.1999999837906053,0.20967711005583017,-0.1958882493605767
42,-0.9520185420777088,1.1148901760604153,0.8588305817838151,1.1569901616942084,-0.20000000757053793,-0.08765214698704443,-0.18860087517778584
43,-0.9831832380372337,1.029554272522167,0.815004508290293,1.2954311512450216,-0.19999998045216397,0.3264625040578119,-0.19244725965966736
44,-1.0049171267175672,0.934880731795061,0.9782357603191989,1.3908768107785787,-0.19999997774798248,0.45821284430390524,-0.20158866940540582
45,-1.0209783694667498,0.8341904314051064,1.2073421824711512,1.4231132976859189,-0.14481396970639404,0.5218071339179412,-0.15262789238714602
46,-1.0338842287029852,0.7619476877331821,1.4682457494301215,1.3500344535730513,0.026740803424874962,0.3032666578482603,0.030130795084842885
47,-1.0299852638825664,0.7777429253377903,1.6198790783542516,1.3102125077067863,-0.20000000996377254,0.061132601159256464,-0.18862409446815456
48,-1.0589646624734759,0.691253912567833,1.6504453789338798,1.174667690285183,-0.20000000996283757,0.25748214738860625,-0.16599391375505756
49,-1.0930683120489553,0.6287025277407486,1.7791864526281826,0.9400143114232565,0.20000000996757494,0.6409131973142459,0.18130554725941117


input_index,input_x1,input_y1,input_theta0,input_theta1,output_v0,output_delta0,output_v1
0,-0.09999999999999987,0.19444444444444445,1.5707963267948966,1.5707963267948966,0.19962432587690557,-0.44217799778029854,0.19962432587690557
1,-0.1022023597299613,0.2960067485729818,1.3497073279047473,1.5999272881482136,0.19958316844528298,-0.13827412487790156,0.19679164871124952
2,-0.10207062661163849,0.3943123049831667,1.2805702654657969,1.538547447643345,0.01857854929119359,0.5137210410642492,0.004857430304629545
